Task Name,Start Date,End Date,Assigned To,Status,% Complete,Category,Notes
Pre-commissioning checklist,11/25/2027,11/25/2027,Super/PM,Not Started,0.00,Trim-Out / Startup,Commissioning detail added in v1.0 production pass. [critical:yes]
Pre-punch HCI walkthrough,11/25/2027,11/26/2027,Super/PM,Not Started,0.00,Exterior / Closeout,[critical:yes]
HVAC control programming,11/26/2027,11/30/2027,Super/PM,Not Started,0.00,Trim-Out / Startup,Commissioning detail added in v1.0 production pass. [critical:yes]
Lighting controls programming,11/26/2027,11/30/2027,Super/PM,Not Started,0.00,Trim-Out / Startup,Commissioning detail added in v1.0 production pass.
AV/network programming,11/26/2027,11/30/2027,Super/PM,Not Started,0.00,Trim-Out / Startup,Commissioning detail added in v1.0 production pass.
Generate punch list,11/29/2027,11/29/2027,Super/PM,Not Started,0.00,Exterior / Closeout,[critical:yes]
Trade punch corrections - MEP,11/30/2027,12/06/2027,Super/PM,Not Started,0.00,Exterior / Closeout,[critical:yes]
Trade punch corrections - finishes,11/30/2027,12/09/2027,Super/PM,Not Started,0.00,Exterior / Closeout,[critical:yes]
Integrated systems test,12/01/2027,12/02/2027,Super/PM,Not Started,0.00,Trim-Out / Startup,Commissioning detail added in v1.0 production pass. [critical:yes]
Owner controls orientation,12/03/2027,12/03/2027,Super/PM,Not Started,0.00,Trim-Out / Startup,Commissioning detail added in v1.0 production pass.
Commissioning corrections,12/03/2027,12/07/2027,Super/PM,Not Started,0.00,Trim-Out / Startup,Commissioning detail added in v1.0 production pass. [critical:yes]
Commissioning complete milestone,12/08/2027,12/08/2027,Super/PM,Not Started,0.00,Trim-Out / Startup,Commissioning detail added in v1.0 production pass. [critical:yes]
Owner / architect punch walk,12/10/2027,12/10/2027,Super/PM,Not Started,0.00,Exterior / Closeout,[critical:yes]
Final punch corrections,12/13/2027,12/17/2027,Super/PM,Not Started,0.00,Exterior / Closeout,[critical:yes]
Final plumbing inspection,12/20/2027,12/20/2027,Super/PM,Not Started,0.00,Exterior / Closeout,[critical:yes]
Final electrical inspection,12/20/2027,12/20/2027,Super/PM,Not Started,0.00,Exterior / Closeout,[critical:yes]
Final mechanical inspection,12/20/2027,12/20/2027,Super/PM,Not Started,0.00,Exterior / Closeout,[critical:yes]
Fire final inspection,12/20/2027,12/20/2027,Super/PM,Not Started,0.00,Exterior / Closeout,""
Final building inspection,12/21/2027,12/21/2027,Super/PM,Not Started,0.00,Exterior / Closeout,[critical:yes]
CO / final approval milestone,12/22/2027,12/22/2027,Super/PM,Not Started,0.00,Exterior / Closeout,[critical:yes]
Deep clean,12/23/2027,12/27/2027,Super/PM,Not Started,0.00,Exterior / Closeout,[critical:yes]
O&M manuals / warranties / attic stock,12/23/2027,12/27/2027,Super/PM,Not Started,0.00,Exterior / Closeout,""
Owner training / turnover walk,12/28/2027,12/28/2027,Super/PM,Not Started,0.00,Exterior / Closeout,[critical:yes]
Substantial completion milestone,12/29/2027,12/29/2027,Super/PM,Not Started,0.00,Exterior / Closeout,[critical:yes]
Closeout documentation issued,12/30/2027,01/03/2028,Super/PM,Not Started,0.00,Exterior / Closeout,""
Final owner acceptance milestone,01/04/2028,01/04/2028,Super/PM,Not Started,0.00,Exterior / Closeout,[critical:yes]
