Task Name,Start Date,End Date,Assigned To,Status,% Complete,Category,Notes
PROCUREMENT - AV equipment delivery,03/31/2027,04/01/2027,PM / Procurement,Not Started,0.00,"",Production date window applied
Exterior cladding subframing,03/31/2027,04/06/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Mechanical equipment set rough phase,04/01/2027,04/06/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Exterior cladding install Area A,04/05/2027,04/14/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Bath fan / venting rough-in,04/05/2027,04/07/2027,PM / Super,Not Started,0.00,"",Production date window applied
Exterior grading coordination,04/05/2027,04/07/2027,PM / Super,Not Started,0.00,"",Production date window applied
Exterior cladding install Area B,04/07/2027,04/16/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Gas piping rough-in if required,04/07/2027,04/12/2027,PM / Super,Not Started,0.00,"",Production date window applied
Exterior trim/flashing details,04/12/2027,04/16/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
MEP pressure tests / rough QA,04/12/2027,04/14/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Plumbing rough inspection,04/14/2027,04/14/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Roofing phase 2 / final tie-ins,04/15/2027,04/21/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
HVAC rough inspection,04/16/2027,04/16/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Utility tie-in coordination,04/16/2027,04/20/2027,PM / Super,Not Started,0.00,"",Production date window applied
Gutters/downspouts/drainage tie-ins,04/20/2027,04/23/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Electrical rough inspection,04/20/2027,04/20/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Low voltage rough review,04/22/2027,04/22/2027,PM / Super,Not Started,0.00,"",Production date window applied
Envelope inspection / water test as required,04/23/2027,04/26/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
MEP corrections Area A,04/26/2027,04/29/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Envelope corrections / punch,04/28/2027,05/03/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
MEP corrections Area B,04/28/2027,05/03/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Hardscape layout,04/28/2027,04/29/2027,PM / Super,Not Started,0.00,"",Production date window applied
MEP rough-in complete milestone,04/30/2027,04/30/2027,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Building dry-in milestone,05/03/2027,05/03/2027,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Release insulation,05/04/2027,05/04/2027,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Release insulation / drywall path,05/06/2027,05/06/2027,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
MEP rough-in documentation update,05/06/2027,05/07/2027,PM / Super,Not Started,0.00,"",Production date window applied
Exterior paint/stain prep,05/10/2027,05/13/2027,PM / Super,Not Started,0.00,"",Production date window applied
Confirm fixture procurement status,05/10/2027,05/10/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Hardscape base prep,05/11/2027,05/17/2027,PM / Super,Not Started,0.00,"",Production date window applied
Confirm lighting procurement status,05/12/2027,05/12/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Exterior paint/stain,05/13/2027,05/24/2027,PM / Super,Not Started,0.00,"",Production date window applied
Confirm AV procurement status,05/14/2027,05/14/2027,PM / Super,Not Started,0.00,"",Production date window applied
Insulation pre-inspection prep,05/17/2027,05/18/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Exterior final punch,05/18/2027,05/20/2027,PM / Super,Not Started,0.00,"",Production date window applied
MEP coordination with millwork,05/18/2027,05/19/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Insulation install exterior walls/roof,05/19/2027,05/26/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
MEP coordination with tile/stone,05/20/2027,05/21/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Exterior envelope substantial complete,05/21/2027,05/21/2027,PM / Super,Not Started,0.00,"",Production date window applied [milestone:yes]
Air seal / thermal envelope QA,05/21/2027,05/24/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Rough-in photo documentation,05/24/2027,05/25/2027,PM / Super,Not Started,0.00,"",Production date window applied
Hardscape install,05/24/2027,06/02/2027,PM / Super,Not Started,0.00,"",Production date window applied
Weather contingency allowance / reserve activity,05/26/2027,06/01/2027,PM / Super,Not Started,0.00,"",Production date window applied
MEP rough closeout meeting,05/26/2027,05/26/2027,PM / Super,Not Started,0.00,"",Production date window applied
Insulation inspection,05/26/2027,05/26/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Insulation corrections,05/28/2027,05/31/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Drywall stocking,06/01/2027,06/02/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Drywall hang Area A,06/03/2027,06/10/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Irrigation rough-in,06/03/2027,06/09/2027,PM / Super,Not Started,0.00,"",Production date window applied
Drywall hang Area B,06/08/2027,06/15/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Drywall finish/tape Area A,06/10/2027,06/21/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Drywall finish/tape Area B,06/14/2027,06/23/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Drywall sand / level check,06/16/2027,06/18/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Irrigation test,06/16/2027,06/16/2027,PM / Super,Not Started,0.00,"",Production date window applied
Prime drywall,06/21/2027,06/24/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Drywall/prime punch,06/23/2027,06/25/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Drywall complete milestone,06/25/2027,06/25/2027,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Release interior finishes,06/29/2027,06/29/2027,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Landscape soil prep,06/29/2027,07/02/2027,PM / Super,Not Started,0.00,"",Production date window applied
Wet area waterproofing prep,07/02/2027,07/06/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Interior doors/frames field verify,07/05/2027,07/06/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Wet area waterproofing install,07/06/2027,07/09/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Wet area flood test/inspection,07/08/2027,07/09/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Interior door procurement status confirm,07/08/2027,07/08/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Planting / restoration,07/09/2027,07/19/2027,PM / Super,Not Started,0.00,"",Production date window applied
Tile backer / substrate complete,07/12/2027,07/15/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Interior trim material confirm,07/12/2027,07/12/2027,PM / Super,Not Started,0.00,"",Production date window applied
Interior finish layout meeting,07/15/2027,07/15/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Cabinet delivery confirmed,07/15/2027,07/15/2027,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Finish protection plan install,07/19/2027,07/20/2027,PM / Super,Not Started,0.00,"",Production date window applied
Cabinet install Area A,07/19/2027,07/28/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Release tile and flooring,07/21/2027,07/21/2027,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Cabinet install Area B,07/22/2027,08/02/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Mulch / final landscape cleanup,07/22/2027,07/23/2027,PM / Super,Not Started,0.00,"",Production date window applied
Millwork / trim install Area A,07/26/2027,08/04/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Millwork / trim install Area B,07/29/2027,08/09/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Tile material delivery confirmed,08/02/2027,08/02/2027,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Exterior drainage review,08/03/2027,08/03/2027,PM / Super,Not Started,0.00,"",Production date window applied
Tile install wet areas Area A,08/05/2027,08/18/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Tile install wet areas Area B,08/09/2027,08/20/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Tile grout/seal,08/12/2027,08/17/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Drive/walk repair if required,08/16/2027,08/19/2027,PM / Super,Not Started,0.00,"",Production date window applied
Stone slab field dimensions,08/17/2027,08/18/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Stone fabrication release after field dimensions,08/19/2027,08/19/2027,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Stone delivery confirmed,08/24/2027,08/24/2027,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Countertop / stone install,08/26/2027,09/02/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Exterior railings/misc site metals,08/27/2027,09/01/2027,PM / Super,Not Started,0.00,"",Production date window applied
Flooring substrate prep,08/31/2027,09/06/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Flooring install Area A,09/02/2027,09/13/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Flooring install Area B,09/07/2027,09/16/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Exterior lighting final,09/08/2027,09/10/2027,PM / Super,Not Started,0.00,"",Production date window applied
Flooring finish/protection,09/09/2027,09/14/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Paint prep / masking,09/14/2027,09/17/2027,PM / Super,Not Started,0.00,"",Production date window applied
Paint finish coats Area A,09/16/2027,09/23/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Paint finish coats Area B,09/21/2027,09/28/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Site punch walk,09/21/2027,09/21/2027,PM / Super,Not Started,0.00,"",Production date window applied
Finish hardware delivery confirmed,09/24/2027,09/24/2027,PM / Super,Not Started,0.00,"",Production date window applied
Interior door install,09/28/2027,10/04/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Finish carpentry punch,10/01/2027,10/06/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Site punch corrections,10/04/2027,10/08/2027,PM / Super,Not Started,0.00,"",Production date window applied
Cabinet / millwork punch,10/05/2027,10/08/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Tile / stone punch,10/08/2027,10/12/2027,PM / Super,Not Started,0.00,"",Production date window applied
Flooring punch,10/12/2027,10/14/2027,PM / Super,Not Started,0.00,"",Production date window applied
Exterior site complete milestone,10/14/2027,10/14/2027,PM / Super,Not Started,0.00,"",Production date window applied [milestone:yes]
Paint touch-up phase 1,10/15/2027,10/19/2027,PM / Super,Not Started,0.00,"",Production date window applied
Specialty bath accessories/blocking complete,10/19/2027,10/21/2027,PM / Super,Not Started,0.00,"",Production date window applied
Glass/shower door field measure,10/22/2027,10/25/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Glass/shower door fabrication,10/26/2027,11/22/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Seasonal planting/weather allowance,10/27/2027,11/02/2027,PM / Super,Not Started,0.00,"",Production date window applied
Glass/shower door install,10/29/2027,11/02/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Appliance delivery confirmed,11/03/2027,11/03/2027,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Appliance install,11/05/2027,11/09/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Finish plumbing trim,11/08/2027,11/12/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Finish plumbing fixtures delivery confirmed,11/10/2027,11/10/2027,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Finish electrical devices,11/10/2027,11/16/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Finish electrical/decorative lighting delivery confirmed,11/12/2027,11/12/2027,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Decorative lighting install,11/12/2027,11/18/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
HVAC grilles/trim/final equipment,11/16/2027,11/22/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
AV equipment delivery confirmed,11/17/2027,11/17/2027,PM / Super,Not Started,0.00,"",Production date window applied [milestone:yes]
Low voltage / AV device install,11/18/2027,11/24/2027,PM / Super,Not Started,0.00,"",Production date window applied
Interior finishes substantial complete,11/19/2027,11/19/2027,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Lighting controls programming,11/22/2027,11/26/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Interior finish punch list create,11/24/2027,11/25/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
HVAC startup and balancing,11/24/2027,11/30/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Plumbing fixture test,11/25/2027,11/26/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Interior finish punch corrections,11/26/2027,12/07/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Electrical panel labeling / testing,11/29/2027,11/30/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Owner pre-punch walk,12/01/2027,12/01/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
AV/controls programming,12/01/2027,12/07/2027,PM / Super,Not Started,0.00,"",Production date window applied
Architect punch walk,12/03/2027,12/03/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Fire/smoke/CO devices final,12/03/2027,12/06/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
MEP final punch,12/07/2027,12/10/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Interior finishes complete milestone,12/08/2027,12/08/2027,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Mechanical final inspection,12/09/2027,12/09/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Plumbing final inspection,12/13/2027,12/13/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Electrical final inspection,12/15/2027,12/15/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Low voltage / security final review,12/17/2027,12/17/2027,PM / Super,Not Started,0.00,"",Production date window applied
Commission HVAC systems,12/21/2027,12/23/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Commission lighting controls,12/23/2027,12/27/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Commission AV / controls,12/27/2027,12/29/2027,PM / Super,Not Started,0.00,"",Production date window applied
Owner systems training - MEP/controls,12/29/2027,12/30/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
MEP O&M manuals collect,12/31/2027,01/04/2028,PM / Super,Not Started,0.00,"",Production date window applied
Commissioning corrections,01/03/2028,01/07/2028,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Commissioning complete milestone,01/05/2028,01/05/2028,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Final clean phase 1,01/07/2028,01/11/2028,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Owner punch list consolidation,01/10/2028,01/11/2028,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Final clean phase 2,01/11/2028,01/13/2028,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Punch list corrections cycle 1,01/11/2028,01/20/2028,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Final inspection prep,01/13/2028,01/14/2028,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Punch list owner review,01/13/2028,01/13/2028,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Punch list corrections cycle 2,01/14/2028,01/20/2028,PM / Super,Not Started,0.00,"",Production date window applied
Final building inspection,01/17/2028,01/17/2028,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Final paint touch-up,01/18/2028,01/20/2028,PM / Super,Not Started,0.00,"",Production date window applied
Certificate of Occupancy / final approval milestone,01/19/2028,01/19/2028,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Final cleaning / detail clean,01/19/2028,01/21/2028,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
O&M manuals complete,01/20/2028,01/24/2028,PM / Super,Not Started,0.00,"",Production date window applied
Warranty information complete,01/24/2028,01/25/2028,PM / Super,Not Started,0.00,"",Production date window applied
As-built / record document collection,01/25/2028,01/31/2028,PM / Super,Not Started,0.00,"",Production date window applied
Subcontractor closeout docs request,01/26/2028,01/27/2028,PM / Super,Not Started,0.00,"",Production date window applied
Lien releases / final billing package,01/28/2028,02/03/2028,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Owner training complete,01/31/2028,02/01/2028,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Final owner walk,02/01/2028,02/01/2028,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Architect closeout confirmation,02/03/2028,02/03/2028,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Final punch complete milestone,02/04/2028,02/04/2028,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Substantial completion milestone,02/08/2028,02/08/2028,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Final completion / turnover milestone,02/09/2028,02/09/2028,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
